,strata,country,age_gender,employed,tertiary,population,pop_country
126,30,Bulgaria,8,2,1,17451,5779210
127,31,Bulgaria,8,1,2,140763,5779210
128,32,Bulgaria,8,1,1,136447,5779210
129,33,Bulgaria,9,2,2,76047,5779210
130,34,Bulgaria,9,2,1,12437,5779210
131,35,Bulgaria,9,1,2,203424,5779210
132,36,Bulgaria,9,1,1,185609,5779210
133,37,Bulgaria,10,2,2,77213,5779210
134,38,Bulgaria,10,2,1,9659,5779210
135,39,Bulgaria,10,1,2,255688,5779210
136,40,Bulgaria,10,1,1,165621,5779210
137,41,Bulgaria,11,2,2,143486,5779210
138,42,Bulgaria,11,2,1,26646,5779210
139,43,Bulgaria,11,1,2,200862,5779210
140,44,Bulgaria,11,1,1,100916,5779210
141,45,Bulgaria,12,2,2,703408,5779210
142,46,Bulgaria,12,2,1,149767,5779210
143,47,Bulgaria,12,1,2,20834,5779210
144,48,Bulgaria,12,1,1,19741,5779210
145,1,Croatia,1,2,2,117324,3272111
146,2,Croatia,1,2,1,4041,3272111
147,3,Croatia,1,1,2,58967,3272111
148,4,Croatia,1,1,1,3785,3272111
149,5,Croatia,2,2,2,26578,3272111
150,6,Croatia,2,2,1,8080,3272111
151,7,Croatia,2,1,2,135955,3272111
152,8,Croatia,2,1,1,54167,3272111
153,9,Croatia,3,2,2,27793,3272111
154,10,Croatia,3,2,1,3283,3272111
155,11,Croatia,3,1,2,182121,3272111
156,12,Croatia,3,1,1,49158,3272111
157,13,Croatia,4,2,2,47859,3272111
158,14,Croatia,4,2,1,3274,3272111
159,15,Croatia,4,1,2,158344,3272111
160,16,Croatia,4,1,1,47433,3272111
161,17,Croatia,5,2,2,103963,3272111
162,18,Croatia,5,2,1,13411,3272111
163,19,Croatia,5,1,2,118416,3272111
164,20,Croatia,5,1,1,33716,3272111
165,21,Croatia,6,2,2,271559,3272111
166,22,Croatia,6,2,1,68204,3272111
167,23,Croatia,6,1,2,11361,3272111
168,24,Croatia,6,1,1,10209,3272111
169,25,Croatia,7,2,2,126028,3272111
170,26,Croatia,7,2,1,7852,3272111
171,27,Croatia,7,1,2,34360,3272111
172,28,Croatia,7,1,1,5533,3272111
173,29,Croatia,8,2,2,43659,3272111
174,30,Croatia,8,2,1,16922,3272111
175,31,Croatia,8,1,2,76712,3272111
176,32,Croatia,8,1,1,79742,3272111
177,33,Croatia,9,2,2,41446,3272111
178,34,Croatia,9,2,1,3071,3272111
179,35,Croatia,9,1,2,127935,3272111
180,36,Croatia,9,1,1,86463,3272111
181,37,Croatia,10,2,2,63143,3272111
182,38,Croatia,10,2,1,4873,3272111
183,39,Croatia,10,1,2,135119,3272111
184,40,Croatia,10,1,1,57593,3272111
185,41,Croatia,11,2,2,147504,3272111
186,42,Croatia,11,2,1,13072,3272111
187,43,Croatia,11,1,2,97336,3272111
188,44,Croatia,11,1,1,37531,3272111
189,45,Croatia,12,2,2,422554,3272111
190,46,Croatia,12,2,1,72620,3272111
191,47,Croatia,12,1,2,7756,3272111
192,48,Croatia,12,1,1,4283,3272111
193,1,Cyprus,1,2,2,30301,750194
194,2,Cyprus,1,2,1,1447,750194
195,3,Cyprus,1,1,2,13851,750194
196,4,Cyprus,1,1,1,3654,750194
197,5,Cyprus,2,2,2,7016,750194
198,6,Cyprus,2,2,1,3595,750194
199,7,Cyprus,2,1,2,29606,750194
200,8,Cyprus,2,1,1,33668,750194
201,9,Cyprus,3,2,2,2807,750194
202,10,Cyprus,3,2,1,1460,750194
203,11,Cyprus,3,1,2,30845,750194
204,12,Cyprus,3,1,1,28565,750194
205,13,Cyprus,4,2,2,3477,750194
206,14,Cyprus,4,2,1,1400,750194
207,15,Cyprus,4,1,2,27139,750194
208,16,Cyprus,4,1,1,20035,750194
209,17,Cyprus,5,2,2,10034,750194
210,18,Cyprus,5,2,1,2846,750194
211,19,Cyprus,5,1,2,26592,750194
212,20,Cyprus,5,1,1,13334,750194
213,21,Cyprus,6,2,2,43947,750194
214,22,Cyprus,6,2,1,13987,750194
215,23,Cyprus,6,1,2,7660,750194
216,24,Cyprus,6,1,1,4113,750194
217,25,Cyprus,7,2,2,30559,750194
218,26,Cyprus,7,2,1,2270,750194
219,27,Cyprus,7,1,2,9435,750194
220,28,Cyprus,7,1,1,7079,750194
221,29,Cyprus,8,2,2,8106,750194
222,30,Cyprus,8,2,1,8984,750194
223,31,Cyprus,8,1,2,17906,750194
224,32,Cyprus,8,1,1,41969,750194
225,33,Cyprus,9,2,2,6329,750194
226,34,Cyprus,9,2,1,5895,750194
227,35,Cyprus,9,1,2,20281,750194
228,36,Cyprus,9,1,1,38798,750194
229,37,Cyprus,10,2,2,10158,750194
230,38,Cyprus,10,2,1,3922,750194
231,39,Cyprus,10,1,2,24619,750194
232,40,Cyprus,10,1,1,18623,750194
233,41,Cyprus,11,2,2,19401,750194
234,42,Cyprus,11,2,1,5490,750194
235,43,Cyprus,11,1,2,19078,750194
236,44,Cyprus,11,1,1,10126,750194
237,45,Cyprus,12,2,2,65496,750194
238,46,Cyprus,12,2,1,9932,750194
239,47,Cyprus,12,1,2,3149,750194
240,48,Cyprus,12,1,1,1209,750194
241,1,Czechia,1,2,2,299625,8716228
242,2,Czechia,1,2,1,15776,8716228
243,3,Czechia,1,1,2,127804,8716228
244,4,Czechia,1,1,1,5927,8716228
245,5,Czechia,2,2,2,35038,8716228
246,6,Czechia,2,2,1,6059,8716228
247,7,Czechia,2,1,2,435240,8716228
248,8,Czechia,2,1,1,175006,8716228
249,9,Czechia,3,2,2,32121,8716228
250,10,Czechia,3,2,1,3921,8716228
251,11,Czechia,3,1,2,549771,8716228
252,12,Czechia,3,1,1,212723,8716228
253,13,Czechia,4,2,2,39761,8716228
254,14,Czechia,4,2,1,3643,8716228
255,15,Czechia,4,1,2,608332,8716228
256,16,Czechia,4,1,1,166473,8716228
257,17,Czechia,5,2,2,125385,8716228
258,18,Czechia,5,2,1,12190,8716228
259,19,Czechia,5,1,2,380887,8716228
260,20,Czechia,5,1,1,113259,8716228
261,21,Czechia,6,2,2,703038,8716228
262,22,Czechia,6,2,1,124783,8716228
263,23,Czechia,6,1,2,50581,8716228
264,24,Czechia,6,1,1,34380,8716228
265,25,Czechia,7,2,2,320850,8716228
266,26,Czechia,7,2,1,12233,8716228
267,27,Czechia,7,1,2,78192,8716228
268,28,Czechia,7,1,1,12833,8716228
269,29,Czechia,8,2,2,139983,8716228
270,30,Czechia,8,2,1,89009,8716228
271,31,Czechia,8,1,2,198505,8716228
272,32,Czechia,8,1,1,179766,8716228
273,33,Czechia,9,2,2,92133,8716228
274,34,Czechia,9,2,1,52653,8716228
275,35,Czechia,9,1,2,393816,8716228
276,36,Czechia,9,1,1,207343,8716228
277,37,Czechia,10,2,2,62647,8716228
278,38,Czechia,10,2,1,5254,8716228
279,39,Czechia,10,1,2,543903,8716228
280,40,Czechia,10,1,1,168270,8716228
281,41,Czechia,11,2,2,202757,8716228
282,42,Czechia,11,2,1,16471,8716228
283,43,Czechia,11,1,2,324754,8716228
284,44,Czechia,11,1,1,96806,8716228
285,45,Czechia,12,2,2,1088239,8716228
286,46,Czechia,12,2,1,101982,8716228
287,47,Czechia,12,1,2,42988,8716228
288,48,Czechia,12,1,1,23119,8716228
289,1,Denmark,1,2,2,141908,4858580
290,2,Denmark,1,2,1,4145,4858580
291,3,Denmark,1,1,2,176257,4858580
292,4,Denmark,1,1,1,9645,4858580
293,5,Denmark,2,2,2,48932,4858580
294,6,Denmark,2,2,1,20348,4858580
295,7,Denmark,2,1,2,187599,4858580
296,8,Denmark,2,1,1,144275,4858580
297,9,Denmark,3,2,2,30493,4858580
298,10,Denmark,3,2,1,7848,4858580
299,11,Denmark,3,1,2,173112,4858580
300,12,Denmark,3,1,1,132368,4858580
301,13,Denmark,4,2,2,32080,4858580
302,14,Denmark,4,2,1,7653,4858580
303,15,Denmark,4,1,2,218750,4858580
304,16,Denmark,4,1,1,133401,4858580
305,17,Denmark,5,2,2,73741,4858580
306,18,Denmark,5,2,1,17236,4858580
307,19,Denmark,5,1,2,205732,4858580
308,20,Denmark,5,1,1,85028,4858580
309,21,Denmark,6,2,2,353695,4858580
310,22,Denmark,6,2,1,110917,4858580
311,23,Denmark,6,1,2,61736,4858580
312,24,Denmark,6,1,1,25090,4858580
313,25,Denmark,7,2,2,135805,4858580
314,26,Denmark,7,2,1,3278,4858580
315,27,Denmark,7,1,2,166078,4858580
316,28,Denmark,7,1,1,13046,4858580
317,29,Denmark,8,2,2,52521,4858580
318,30,Denmark,8,2,1,30644,4858580
319,31,Denmark,8,1,2,104692,4858580
320,32,Denmark,8,1,1,196018,4858580
321,33,Denmark,9,2,2,39293,4858580
322,34,Denmark,9,2,1,19408,4858580
323,35,Denmark,9,1,2,112775,4858580
324,36,Denmark,9,1,1,166065,4858580
325,37,Denmark,10,2,2,42279,4858580
326,38,Denmark,10,2,1,14361,4858580
327,39,Denmark,10,1,2,168393,4858580
328,40,Denmark,10,1,1,165298,4858580
329,41,Denmark,11,2,2,91574,4858580
